model,year,motor_type,running,color,type,status,motor_volume,price
0,-0.12234706263598606,1,-0.15095935654965542,16,1.0,3.0,-0.13841630326565363,-0.5969742932552304
2,0.33319460822182617,3,-0.2175044722462248,1,1.0,3.0,-0.13841630326565363,1.6751513197577743
2,0.4850418318410969,3,-0.5087043752254397,1,1.0,3.0,-0.13841630326565363,2.093333947919677
4,0.7887362790796384,3,-0.6534269975041332,1,1.0,,-0.13841630326565363,0.9781802728212697
4,-0.5778887334937983,1,0.2665953869818476,1,1.0,2.0,-0.9289539379167956,-0.0324277452366618
0,0.33319460822182617,3,0.015403432691767919,13,1.0,2.0,-0.13841630326565363,-0.2763676116644384
2,0.02950016098328468,3,0.059848783726571,16,1.0,3.0,-0.13841630326565363,1.187271586902221
1,-0.2741942862552568,3,0.7640359842781732,1,1.0,3.0,-0.13841630326565363,-1.0430357632945932
2,-0.8815831807323398,3,0.6284019426785816,16,1.0,2.0,-0.13841630326565363,-0.48545892574538974
2,0.02950016098328468,3,-0.6534269975041332,16,1.0,3.0,-0.13841630326565363,1.5357571103704732
3,0.33319460822182617,3,-0.488029714899912,7,4.0,3.0,-0.13841630326565363,0.3230274887009555
4,-0.12234706263598606,3,0.059848783726571,2,1.0,2.0,-0.13841630326565363,-0.41576182105173926
2,-1.944513746067235,3,0.4423299997488327,1,1.0,2.0,-0.9289539379167956,-1.2103088145593544
0,-0.2741942862552568,3,-0.19858447034252474,7,1.0,2.0,-0.13841630326565363,-1.0290963423558632
2,0.18134738460255542,3,-0.363981752946746,16,1.0,3.0,-0.13841630326565363,1.953939738532376
4,0.7887362790796384,3,-0.5345477006323492,1,1.0,3.0,-0.9289539379167956,0.3509063305784157
0,0.33319460822182617,3,0.41467412687118416,16,1.0,3.0,-0.13841630326565363,-0.45758008386792953
1,0.4850418318410969,3,-0.4004203590171698,16,1.0,3.0,-0.13841630326565363,-0.11954912610372487
2,-2.5519026405443177,3,0.9462645078534067,7,1.0,3.0,-0.9289539379167956,-1.3915212867628457
1,0.7887362790796384,3,-0.5835026085773564,16,1.0,3.0,-0.13841630326565363,-0.06727629758348702
1,0.6368890554603677,3,-0.3422765641772924,16,1.0,3.0,-0.13841630326565363,0.12787559555873423
3,0.6368890554603677,3,-0.716592839970495,1,4.0,3.0,-0.13841630326565363,0.4903005399657166
0,0.7887362790796384,3,0.0908607742148625,16,1.0,3.0,-0.13841630326565363,-0.20667050697078793
1,0.6368890554603677,3,-1.025570883363631,14,1.0,3.0,-0.13841630326565363,0.07211791180381387
3,-0.2741942862552568,3,1.0780758047588082,16,4.0,2.0,-0.13841630326565363,-0.5133377676228499
3,1.0924307263181798,3,-1.049318418453342,1,4.0,3.0,-0.13841630326565363,1.466060005676823
0,0.6368890554603677,3,-0.7464629689690077,7,1.0,3.0,-0.13841630326565363,0.25333038400730507
0,0.33319460822182617,3,-0.49836704506267576,2,1.0,3.0,-0.13841630326565363,-0.5830348723165004
3,0.33319460822182617,3,-0.49929740477732454,7,4.0,3.0,-0.13841630326565363,0.12787559555873423
0,0.33319460822182617,3,0.7640359842781732,16,1.0,2.0,-0.13841630326565363,-0.4993983466841198
1,0.33319460822182617,3,0.18176622193319128,16,1.0,3.0,-0.13841630326565363,-0.47151950480665966
0,0.6368890554603677,3,-0.8164105135153491,7,2.0,3.0,-0.13841630326565363,0.0024208071101634227
0,0.6368890554603677,3,-0.3122951021329269,1,1.0,3.0,-0.13841630326565363,0.2115121211911148
2,-0.2741942862552568,3,-0.07453650838935878,1,1.0,3.0,-0.13841630326565363,-0.3530344268274539
1,0.6368890554603677,3,0.23535167634785373,14,1.0,3.0,-0.13841630326565363,-0.09515513946094721
4,0.18134738460255542,3,-0.3329697624584545,1,1.0,3.0,-0.13841630326565363,0.07211791180381387
3,-0.42604150987452755,3,-0.15723514969146943,2,4.0,2.0,-0.13841630326565363,-1.0430357632945932
3,0.6368890554603677,3,-0.8601736007594099,1,4.0,3.0,-0.13841630326565363,0.11393617462000415
4,0.02950016098328468,3,0.18389674567973696,1,1.0,3.0,-0.13841630326565363,0.0024208071101634227
0,0.4850418318410969,3,-0.28404958794279417,16,1.0,3.0,-0.13841630326565363,-0.06727629758348702
0,-0.5778887334937983,3,1.529304814788721,7,1.0,3.0,-0.13841630326565363,-0.9315203957847527
2,-0.2741942862552568,3,0.39803784794704183,1,1.0,3.0,-0.13841630326565363,0.044239069926353694
3,0.33319460822182617,3,0.49785552149189566,16,4.0,3.0,-0.13841630326565363,-0.0324277452366618
3,0.33319460822182617,3,-0.26741330901865185,16,4.0,3.0,1.8379277833622016,0.37878517245587584
3,0.18134738460255542,3,-1.2303211331480106,2,4.0,3.0,-0.13841630326565363,-0.45758008386792953
2,-1.1852776279708812,3,0.7317752443062199,13,1.0,3.0,-0.13841630326565363,-1.0430357632945932
1,0.18134738460255542,3,0.4046923595166988,13,1.0,2.0,-0.9289539379167956,-0.7781867654587217
1,0.4850418318410969,3,-0.15095935654965542,1,1.0,3.0,-0.13841630326565363,-0.2484887697869782
0,-0.42604150987452755,4,0.9470350524437391,16,1.0,3.0,-0.13841630326565363,-0.987278079539673
1,0.6368890554603677,3,-0.673338514767725,2,1.0,3.0,-0.13841630326565363,0.14181501649746434
3,0.4850418318410969,3,0.4313104057953264,7,4.0,2.0,1.8379277833622016,0.2812092258847652
0,0.9405835026989091,3,-0.9945588928753396,4,1.0,3.0,-0.13841630326565363,1.3545446381669821
1,0.4850418318410969,3,0.18176622193319128,16,1.0,3.0,-0.13841630326565363,-0.2903070326031685
1,0.4850418318410969,4,-0.2507770300945096,1,1.0,3.0,-0.13841630326565363,-0.5830348723165004
2,-2.703749864163589,3,0.8868351967476774,2,1.0,,-0.13841630326565363,-1.8236433358634785
3,0.4850418318410969,3,-0.28404958794279417,16,4.0,3.0,-0.13841630326565363,1.2569686915958715
0,-0.2741942862552568,3,-0.04352451790106729,16,1.0,3.0,-0.13841630326565363,-0.7642473445199915
2,-0.42604150987452755,3,0.008162132912751856,16,1.0,2.0,-0.13841630326565363,0.12787559555873423
2,-2.8555970877828596,3,3.936347594763007,2,1.0,2.0,-0.13841630326565363,-1.6424308636599871
2,-1.7926665224479643,1,0.8661605364221497,1,1.0,2.0,-0.9289539379167956,-1.3636424448853854
2,-2.400055416925047,1,-1.2292162875700785,2,1.0,2.0,-0.13841630326565363,-1.3218241820691952
4,0.6368890554603677,3,-1.2318006201107694,1,1.0,3.0,-0.13841630326565363,0.8109072215565086
0,0.18134738460255542,3,-0.30068586686693666,6,1.0,3.0,-0.13841630326565363,-0.4297012419904694
3,0.4850418318410969,3,-0.25027112115634387,7,4.0,3.0,-0.13841630326565363,0.2812092258847652
2,-3.3111387586406718,3,3.023892135956169,7,1.0,,-0.13841630326565363,-1.740006810231098
2,-2.5519026405443177,1,1.8688815622102413,2,1.0,2.0,-0.13841630326565363,-1.475157812395226
0,0.4850418318410969,3,0.008162132912751856,14,1.0,3.0,-0.13841630326565363,-0.5133377676228499
3,0.6368890554603677,3,-0.9221975817359928,1,,3.0,-0.13841630326565363,0.5599976446593671
0,-0.5778887334937983,3,0.059848783726571,1,1.0,2.0,-0.13841630326565363,-0.987278079539673
1,0.6368890554603677,3,-0.566866329653214,7,1.0,3.0,-0.13841630326565363,0.23939096306857496
4,1.0924307263181798,3,-1.230766887094493,1,1.0,,-0.13841630326565363,0.6854524331079378
3,0.7887362790796384,3,-0.9162281870602033,1,4.0,3.0,-0.13841630326565363,0.4903005399657166
1,0.18134738460255542,3,-0.363981752946746,1,1.0,3.0,-0.13841630326565363,-0.34606471635808883
4,-0.42604150987452755,3,-0.19858447034252474,1,1.0,3.0,-0.9289539379167956,-0.20667050697078793
2,-3.0074443114021303,1,2.385748070348433,14,1.0,2.0,-0.13841630326565363,-1.3915212867628457
3,0.33319460822182617,3,-0.44874874929180336,10,4.0,3.0,1.8379277833622016,0.4903005399657166
2,-2.703749864163589,3,3.419481086624815,2,1.0,2.0,-0.13841630326565363,-1.6284914427212571
4,0.33319460822182617,3,-0.04352451790106729,16,1.0,3.0,-0.13841630326565363,0.2812092258847652
1,0.7887362790796384,3,-0.9842215627125758,1,1.0,3.0,-0.13841630326565363,0.25333038400730507
3,0.4850418318410969,3,-0.6213812739995653,1,,3.0,-0.13841630326565363,0.6715130121692078
1,0.4850418318410969,3,-0.4570177244116205,1,1.0,2.0,-0.13841630326565363,-0.3600041372968189
3,0.6368890554603677,3,-0.7665016767429222,1,4.0,3.0,-0.13841630326565363,0.4903005399657166
4,0.18134738460255542,3,-0.19858447034252474,1,1.0,3.0,-1.7194915725679376,0.2115121211911148
2,-1.0334304043516105,3,0.4940166505626518,16,1.0,3.0,5.790615956617913,-0.8897021329685624
4,0.18134738460255542,3,-0.40533107359780135,1,1.0,2.0,-0.13841630326565363,0.3509063305784157
0,-0.42604150987452755,3,-1.2314905002058867,1,1.0,3.0,-0.13841630326565363,-0.8757627120298322
0,0.6368890554603677,3,0.2649476165539031,1,1.0,3.0,-0.13841630326565363,0.0024208071101634227
3,0.33319460822182617,3,-0.6534269975041332,7,4.0,3.0,1.8379277833622016,0.40666401433333604
3,0.6368890554603677,3,-0.8297195366546631,16,4.0,3.0,-0.13841630326565363,0.8387860634339689
2,-2.8555970877828596,1,0.6284019426785816,1,1.0,,-0.13841630326565363,-0.0324277452366618
3,0.33319460822182617,3,-0.27094578148187154,16,4.0,3.0,-0.13841630326565363,-0.05333687664475694
0,0.7887362790796384,3,-0.4537396329690462,7,1.0,3.0,-0.13841630326565363,-0.2903070326031685
2,-0.729735957113069,3,1.8688815622102413,1,1.0,3.0,3.814271869990057,-0.48545892574538974
0,0.4850418318410969,3,-0.4005035404117906,16,1.0,2.0,-0.13841630326565363,-0.41576182105173926
3,0.6368890554603677,3,-0.7598471651732652,1,4.0,3.0,-0.13841630326565363,0.4624216980882564
0,-0.2741942862552568,3,0.19840250085733357,16,1.0,2.0,-0.13841630326565363,-1.0290963423558632
0,0.4850418318410969,3,-0.7332291188946375,7,1.0,3.0,-0.13841630326565363,0.14181501649746434
3,0.4850418318410969,3,-0.10936865923929967,1,4.0,3.0,1.8379277833622016,0.3509063305784157
1,0.6368890554603677,3,-0.7997742345912069,2,1.0,3.0,-0.13841630326565363,0.3509063305784157
2,0.33319460822182617,3,-0.23414075117036726,1,1.0,3.0,-0.13841630326565363,1.926060896654916
4,0.7887362790796384,3,-0.5293790355509673,14,1.0,3.0,-0.13841630326565363,0.9642408518825396
2,0.6368890554603677,3,-0.3838672614876483,16,1.0,3.0,-0.13841630326565363,2.6509107854688807
2,-1.0334304043516105,3,0.3389566981211944,7,1.0,3.0,-0.13841630326565363,-0.48545892574538974
3,0.33319460822182617,1,-0.15095935654965542,14,4.0,3.0,1.8379277833622016,0.2812092258847652
0,-0.2741942862552568,4,1.0634890049127355,16,1.0,3.0,-0.13841630326565363,-0.9036415539072924
3,0.4850418318410969,3,-0.2524406579869237,16,4.0,3.0,-0.13841630326565363,0.25333038400730507
0,0.4850418318410969,1,-0.5397163657137312,2,1.0,2.0,-0.13841630326565363,-0.06727629758348702
4,-1.1852776279708812,3,-0.13656048936594176,13,1.0,3.0,-1.7194915725679376,-0.8618232910911021
2,-0.42604150987452755,3,-1.2322141133172801,16,1.0,3.0,1.8379277833622016,-0.7921261863974517
0,0.9405835026989091,3,-0.7498653978187798,16,1.0,3.0,-0.13841630326565363,1.340605217228252
2,-0.729735957113069,3,0.39064334893501357,16,1.0,2.0,-0.9289539379167956,-0.5551560304390402
0,0.4850418318410969,3,-0.8663193502877761,14,1.0,3.0,-0.13841630326565363,0.07211791180381387
2,0.7887362790796384,3,-0.849836270596646,16,1.0,3.0,-0.13841630326565363,2.9993963089371327
1,0.7887362790796384,3,-0.48558147082985453,16,1.0,3.0,-0.13841630326565363,0.2115121211911148
0,0.6368890554603677,3,-0.15095935654965542,14,1.0,2.0,-0.13841630326565363,-0.06727629758348702
4,0.6368890554603677,3,-0.9325349118987566,16,1.0,3.0,-0.13841630326565363,1.0478773775149202
0,0.6368890554603677,3,-0.10105051977722852,1,1.0,3.0,-0.13841630326565363,0.2115121211911148
3,-0.8815831807323398,3,1.146670399533447,10,4.0,2.0,-0.13841630326565363,-0.9315203957847527
4,1.0924307263181798,3,-1.2240476224886967,7,1.0,3.0,-0.13841630326565363,2.9993963089371327
2,-2.0963609696865055,1,2.168664136930392,0,1.0,2.0,-0.13841630326565363,-1.4890972333339563
1,0.7887362790796384,3,-0.6500477242739258,13,1.0,3.0,-0.13841630326565363,0.22545154212984486
3,0.4850418318410969,3,-0.05114168300480145,16,4.0,3.0,1.8379277833622016,0.5599976446593671
3,0.6368890554603677,3,0.008162132912751856,16,,3.0,1.8379277833622016,0.07211791180381387
2,0.18134738460255542,3,0.008162132912751856,1,1.0,3.0,-0.13841630326565363,1.493938847554283
0,1.0924307263181798,3,-1.1824086498464805,2,1.0,3.0,-0.13841630326565363,1.6054542150641238
4,-0.12234706263598606,3,-0.367230982563506,1,1.0,3.0,-0.9289539379167956,-0.2763676116644384
2,-1.944513746067235,4,0.704898185883034,14,1.0,3.0,-0.13841630326565363,-1.3043999058957825
0,0.33319460822182617,3,-0.17790981001699707,2,1.0,3.0,-0.13841630326565363,-0.47151950480665966
2,-3.0074443114021303,1,2.9026145784866237,2,1.0,2.0,-0.13841630326565363,-0.0324277452366618
1,0.33319460822182617,3,0.2815838954780454,1,1.0,3.0,-0.13841630326565363,-0.4297012419904694
2,0.4850418318410969,3,-0.33395842471522125,16,1.0,3.0,-0.13841630326565363,2.6509107854688807
0,0.6368890554603677,3,-0.15095935654965542,7,1.0,3.0,-0.13841630326565363,0.07211791180381387
2,0.18134738460255542,3,0.21490873616802844,16,1.0,2.0,-0.13841630326565363,1.5357571103704732
0,-0.42604150987452755,1,1.1133978416851624,1,1.0,2.0,-0.9289539379167956,-0.833944449213642
3,0.6368890554603677,3,-0.06777796192894375,7,4.0,,-0.13841630326565363,-0.48545892574538974
4,0.33319460822182617,3,-0.23414075117036726,16,1.0,3.0,-0.13841630326565363,-0.06727629758348702
2,0.18134738460255542,3,-0.09521116871488644,1,1.0,3.0,-0.13841630326565363,1.7169695825739646
1,0.6368890554603677,3,-0.275731448480723,14,1.0,2.0,-0.13841630326565363,0.2115121211911148
2,-3.159291535021401,1,1.6621349589549645,1,1.0,2.0,-0.13841630326565363,-1.6703097055374474
3,-0.12234706263598606,1,0.4940166505626518,7,4.0,2.0,1.8379277833622016,-0.20667050697078793
4,0.9405835026989091,3,-0.09521116871488644,1,1.0,3.0,-0.13841630326565363,-0.0324277452366618
2,0.4850418318410969,3,-0.49836704506267576,7,1.0,3.0,-0.13841630326565363,1.7448484244514246
0,-0.2741942862552568,1,1.5958499304852902,7,1.0,3.0,-0.13841630326565363,-1.0430357632945932
2,-2.8555970877828596,1,1.455388355699688,14,1.0,2.0,-0.13841630326565363,-1.475157812395226
1,0.6368890554603677,3,-0.16759563547379788,1,1.0,3.0,-0.13841630326565363,0.14181501649746434
4,0.18134738460255542,3,-0.35364442278398217,1,1.0,3.0,-0.13841630326565363,-0.06727629758348702
0,0.6368890554603677,3,-0.6637643276668971,14,1.0,3.0,-0.13841630326565363,-0.09515513946094721
0,0.7887362790796384,3,-0.9328644659843456,3,1.0,3.0,-0.9289539379167956,0.13484530602809927
4,0.9405835026989091,3,-0.34330709262121833,1,1.0,3.0,-0.13841630326565363,0.6575735912304776
2,-1.0334304043516105,1,0.6284019426785816,1,1.0,2.0,3.814271869990057,-0.41576182105173926
4,0.33319460822182617,3,-0.30195777197016305,14,1.0,3.0,-0.13841630326565363,0.7690889587403184
3,0.33319460822182617,3,0.9303987735195968,16,4.0,3.0,1.8379277833622016,-0.02545803476729676
0,0.6368890554603677,3,-0.3173221457910789,3,1.0,2.0,-0.13841630326565363,-0.13697340227713747
3,0.4850418318410969,3,-0.37431908310950984,16,4.0,2.0,-0.13841630326565363,-0.2763676116644384
0,0.4850418318410969,3,-0.999409581680915,1,1.0,3.0,-0.13841630326565363,-0.02545803476729676
2,-2.8555970877828596,3,1.0418951491891348,2,1.0,2.0,-0.13841630326565363,-1.6006126008437969
2,0.6368890554603677,3,-0.8188242801083545,2,1.0,3.0,-0.13841630326565363,2.4418194713879293
0,0.4850418318410969,3,-0.6947763181551886,14,1.0,3.0,-0.13841630326565363,-0.30424645354189855
2,0.33319460822182617,3,-0.6500477242739258,1,1.0,,-0.13841630326565363,1.187271586902221
2,0.4850418318410969,3,-0.9245463265222743,16,1.0,3.0,-0.13841630326565363,2.3581829457555488
0,0.02950016098328468,1,0.5976731950367498,16,1.0,,-0.13841630326565363,-0.9733386586009429
2,-2.5519026405443177,3,1.5587616573273262,1,1.0,3.0,-0.13841630326565363,-1.2521270773755446
3,0.4850418318410969,3,-0.08441424085308606,16,4.0,,-0.13841630326565363,0.866664905311429
2,0.33319460822182617,3,-0.6534269975041332,7,1.0,3.0,-0.13841630326565363,1.3963629009831724
3,0.4850418318410969,3,-0.35364442278398217,1,,3.0,1.8379277833622016,0.9781802728212697
2,-1.0334304043516105,3,-1.2297331540782168,16,1.0,2.0,3.814271869990057,-0.7224290817038013
4,0.02950016098328468,3,0.5144918004160383,1,1.0,3.0,-0.9289539379167956,-0.06727629758348702
0,0.33319460822182617,3,0.13185738516076437,14,1.0,2.0,-0.13841630326565363,-0.6387925560714207
3,0.4850418318410969,3,-0.16759563547379788,2,4.0,3.0,-0.13841630326565363,0.07211791180381387
4,0.4850418318410969,3,-0.7464629689690077,1,1.0,3.0,-0.9289539379167956,-0.02545803476729676
4,-0.5778887334937983,1,-0.03450540408065915,14,1.0,3.0,-0.13841630326565363,-0.8060656073361818
2,0.4850418318410969,3,-1.231170042970841,2,1.0,3.0,-0.13841630326565363,2.093333947919677
4,-0.12234706263598606,3,-0.5335937718049294,14,1.0,3.0,-0.9289539379167956,0.0024208071101634227
3,0.7887362790796384,3,-0.9744551632947014,16,4.0,3.0,-0.13841630326565363,0.7690889587403184
4,-0.2741942862552568,4,1.4967376763507434,1,1.0,2.0,-0.13841630326565363,-0.34606471635808883
2,-1.0334304043516105,3,0.8868351967476774,6,1.0,,-0.13841630326565363,-0.0324277452366618
1,0.6368890554603677,3,-0.4920030744945734,16,1.0,3.0,-0.13841630326565363,0.2812092258847652
4,0.7887362790796384,3,-1.1423827142028624,2,1.0,3.0,-0.13841630326565363,1.6054542150641238
2,-0.729735957113069,1,1.2631243520024436,10,1.0,2.0,3.814271869990057,-0.6945502398263411
2,0.02950016098328468,3,0.4733419902371242,1,1.0,2.0,-0.13841630326565363,1.2569686915958715
1,0.7887362790796384,3,-0.616775166425641,14,1.0,3.0,-0.13841630326565363,-0.13697340227713747
3,0.7887362790796384,3,-0.6627926186315972,1,1.0,,-0.13841630326565363,-0.02545803476729676
0,1.2442779499374506,3,-1.0048962230381033,1,1.0,3.0,-0.13841630326565363,2.5115165760815796
4,-0.12234706263598606,1,0.3492940282839582,16,1.0,2.0,-0.13841630326565363,-0.20667050697078793
2,-1.7926665224479643,3,1.9515802035123517,16,1.0,2.0,-0.13841630326565363,-1.3915212867628457
1,-0.5778887334937983,1,1.679031325106002,1,1.0,3.0,-0.13841630326565363,-1.0430357632945932
0,0.9405835026989091,3,-0.488029714899912,16,1.0,3.0,-0.13841630326565363,1.326665796289522
1,0.6368890554603677,3,-0.8330467924394914,2,1.0,3.0,-0.13841630326565363,0.5599976446593671
0,0.7887362790796384,3,-0.6001388875014987,14,1.0,3.0,-0.13841630326565363,-0.06727629758348702
2,0.6368890554603677,3,-0.35364442278398217,16,1.0,3.0,-0.13841630326565363,-0.0324277452366618
1,0.6368890554603677,3,-0.7249109794325663,2,1.0,3.0,-0.13841630326565363,0.11393617462000415
1,0.6368890554603677,3,-0.7774749594572992,4,1.0,3.0,-1.7194915725679376,0.0024208071101634227
0,0.4850418318410969,3,-0.26741330901865185,7,1.0,3.0,-1.7194915725679376,-0.039397455706026846
4,0.4850418318410969,3,-1.231779945450444,14,1.0,3.0,-0.9289539379167956,0.2115121211911148
0,0.33319460822182617,3,-0.08441424085308606,1,1.0,3.0,-0.13841630326565363,-0.20667050697078793
3,0.6368890554603677,3,-1.0565828738519225,1,4.0,3.0,-0.13841630326565363,0.7690889587403184
2,0.6368890554603677,3,-0.9328644659843456,1,1.0,3.0,-0.13841630326565363,2.9296992042434824
3,0.4850418318410969,3,0.27693271714461143,14,4.0,2.0,1.8379277833622016,-0.20667050697078793
3,0.4850418318410969,3,-0.03450540408065915,1,4.0,3.0,-0.13841630326565363,0.0024208071101634227
3,0.6368890554603677,3,-0.8601736007594099,1,,2.0,-0.13841630326565363,0.8387860634339689
0,0.4850418318410969,3,0.9137624945954542,1,1.0,3.0,-0.13841630326565363,-0.5830348723165004
2,-2.400055416925047,3,1.8688815622102413,14,2.0,2.0,-0.9289539379167956,-1.6981885474149077
3,0.4850418318410969,3,-0.2008681933220825,1,4.0,3.0,1.8379277833622016,0.4903005399657166
2,-1.4889720752094227,3,0.7317752443062199,2,1.0,3.0,-0.13841630326565363,-0.8618232910911021
1,0.18134738460255542,3,-1.231302673604535,1,1.0,2.0,-0.9289539379167956,-0.6945502398263411
1,0.7887362790796384,3,-0.7831379556670646,7,1.0,3.0,-0.13841630326565363,0.030299648987623603
2,-2.703749864163589,4,-1.2306531764627027,14,1.0,2.0,-0.13841630326565363,-1.0151569214171332
2,0.9405835026989091,3,-1.0410768786077769,1,1.0,2.0,-0.13841630326565363,2.9993963089371327
3,0.33319460822182617,3,-0.20892180050528855,14,4.0,3.0,-0.13841630326565363,0.11393617462000415
4,0.7887362790796384,3,-0.4570177244116205,14,1.0,3.0,-0.13841630326565363,0.7690889587403184
0,0.6368890554603677,3,-0.729901863109809,1,1.0,2.0,-0.13841630326565363,-0.06727629758348702
4,0.4850418318410969,3,-0.4005035404117906,14,1.0,3.0,-0.9289539379167956,-0.2763676116644384
3,0.33319460822182617,3,0.048675990540052526,16,4.0,3.0,-0.13841630326565363,-0.10212484993031225
3,1.0924307263181798,3,-1.1824086498464805,4,4.0,3.0,-2.114760389893509,2.58121368077523
1,0.4850418318410969,3,-0.8164105135153491,2,1.0,3.0,-0.13841630326565363,0.5599976446593671
1,0.6368890554603677,3,-0.5169574928807871,16,1.0,3.0,-0.13841630326565363,-0.06727629758348702
3,0.33319460822182617,3,-0.34330709262121833,7,4.0,3.0,-0.13841630326565363,0.0024208071101634227
1,-0.729735957113069,3,1.0618253770203212,1,1.0,,-0.13841630326565363,-1.461218391456496
2,-2.5519026405443177,3,1.7965202510708944,4,1.0,,-0.9289539379167956,-1.5866731799050668
3,0.4850418318410969,3,-0.06777796192894375,7,,3.0,1.8379277833622016,0.0024208071101634227
0,0.9405835026989091,3,-0.36377500634349075,16,1.0,,-0.13841630326565363,0.18363327931365458
0,0.7887362790796384,3,-0.45041237718421767,16,1.0,3.0,-0.13841630326565363,0.14181501649746434
3,0.4850418318410969,3,-0.4005035404117906,1,4.0,3.0,1.8379277833622016,0.3509063305784157
3,0.33319460822182617,3,-0.43377609826007535,10,4.0,3.0,-0.13841630326565363,0.14181501649746434
0,0.6368890554603677,3,-0.44668039424885664,16,1.0,3.0,-0.13841630326565363,-0.05333687664475694
0,-0.2741942862552568,3,0.46458296364361107,7,1.0,2.0,-0.13841630326565363,-0.833944449213642
3,0.4850418318410969,3,-0.4836849350325023,14,4.0,3.0,-0.13841630326565363,0.26726980494603514
0,-0.12234706263598606,3,-0.4836849350325023,16,,3.0,-0.13841630326565363,-0.6945502398263411
2,-2.703749864163589,3,1.3533278950027208,14,1.0,,-0.13841630326565363,-1.6842491264761774
2,-2.2482081933057763,3,1.0418951491891348,2,1.0,,-0.13841630326565363,-1.5657640484969717
2,-1.1852776279708812,3,0.8351485459338582,14,1.0,3.0,-0.13841630326565363,-0.9733386586009429
4,-0.12234706263598606,1,0.4526673299115965,16,1.0,2.0,-1.7194915725679376,0.044239069926353694
2,-0.2741942862552568,3,0.6808545896574616,1,1.0,3.0,-0.13841630326565363,0.09999675368127406
0,0.33319460822182617,3,-0.4005035404117906,16,1.0,3.0,-0.13841630326565363,-0.6527319770101508
1,0.7887362790796384,3,-0.7568002991317715,2,1.0,3.0,-0.13841630326565363,0.2812092258847652
4,0.18134738460255542,1,-0.3329697624584545,16,1.0,3.0,-0.13841630326565363,-0.02545803476729676
4,0.18134738460255542,3,-0.08441424085308606,7,1.0,2.0,-0.13841630326565363,-0.5551560304390402
0,0.4850418318410969,3,-1.2319348522036524,1,1.0,2.0,-0.13841630326565363,-0.060306587114121984
3,0.6368890554603677,3,-0.8496830713636337,14,4.0,3.0,-0.13841630326565363,1.0896956403311104
0,0.6368890554603677,3,-0.5914030165275502,16,1.0,3.0,-0.13841630326565363,0.030299648987623603
3,0.33319460822182617,3,0.2649476165539031,2,,,-0.13841630326565363,-0.4018224001130092
0,-0.42604150987452755,3,0.7176207660798162,13,,3.0,-0.9289539379167956,-0.5551560304390402
3,0.4850418318410969,3,-0.6833202821222104,7,4.0,3.0,-0.13841630326565363,0.18363327931365458
2,-2.703749864163589,1,1.4243763652113965,14,1.0,3.0,-0.9289539379167956,-1.4960669438033212
2,0.02950016098328468,3,0.8351485459338582,16,1.0,2.0,-0.9289539379167956,1.2987869544120618
2,-2.400055416925047,4,1.4294871412438668,16,1.0,3.0,-0.13841630326565363,-1.0430357632945932
